time,name,price,rating,availability
2025-06-11 19:39:41,iPhone 16 Pro,N/A,N/A,N/A
2025-06-11 19:39:42,iPhone 16,N/A,N/A,N/A
2025-06-12 16:57:48,iPhone 16 Pro,N/A,N/A,N/A
2025-06-12 16:57:48,iPhone 16,N/A,N/A,N/A
2025-06-13 10:28:45,iPhone 16 Pro,N/A,N/A,N/A
2025-06-13 10:28:45,iPhone 16,N/A,N/A,N/A
iPhone 16,Coming Soon (API),Coming Soon,Coming Soon,2025-06-13 16:56:00
iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon,2025-06-13 16:56:00
iPhone 16,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 12:35:45
iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 12:35:45
iPhone 16,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 13:00:55
iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 13:00:55
iPhone 16,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 13:02:15
iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon,2025-06-14 13:02:15
2025-06-14 15:41:06,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-14 15:41:06,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-14 16:52:05,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-14 16:52:05,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-15 16:54:20,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-15 16:54:20,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-16 16:58:28,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-16 16:58:28,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-17 16:59:37,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-17 16:59:37,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-18 17:00:47,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-18 17:00:47,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-19 16:57:11,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-19 16:57:11,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
2025-06-20 16:57:06,iPhone 16,Coming Soon (API),Coming Soon,Coming Soon
2025-06-20 16:57:06,iPhone 16 Pro,Coming Soon (API),Coming Soon,Coming Soon
